,Title,Genres,Ratings,Director
8673,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
8674,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
8675,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
8676,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
8677,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
8678,Hawkeye,"Action, Adventure, Crime",7.5,
8679,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
8680,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
8681,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
8682,Mare of Easttown,"Crime, Drama, Mystery",8.5,
8683,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
8684,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
8685,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
8686,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
8687,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
8688,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
8689,Invincible,"Animation, Action, Adventure",8.7,
8690,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
8691,CODA,"Comedy, Drama, Music",8.0,Sian Heder
8692,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
8693,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
8694,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
8695,Dhindora,"Comedy, Drama",8.8,
8696,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
8697,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
8698,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
8699,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
8700,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
8701,Squid Game,"Action, Drama, Mystery",8.0,
8702,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
8703,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
8704,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
8705,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
8706,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
8707,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
8708,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
8709,WandaVision,"Action, Comedy, Drama",7.9,
8710,Loki,"Action, Adventure, Fantasy",8.2,
8711,Aspirants,Drama,9.2,
8712,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
8713,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
8714,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
8715,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
8716,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
8717,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
8718,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
8719,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
8720,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
8721,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
8722,Arcane,"Animation, Action, Adventure",9.0,
8723,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
8724,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
8725,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
8726,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
8727,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
8728,Hawkeye,"Action, Adventure, Crime",7.5,
8729,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
8730,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
8731,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
8732,Mare of Easttown,"Crime, Drama, Mystery",8.5,
8733,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
8734,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
8735,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
8736,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
8737,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
8738,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
8739,Invincible,"Animation, Action, Adventure",8.7,
8740,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
8741,CODA,"Comedy, Drama, Music",8.0,Sian Heder
